elapsed_seconds,cpu_percent,ram_used_gib,ram_available_gib,ram_percent,swap_used_gib,swap_percent
0.001,6.2,14.56698989868164,15.88528823852539,47.8,2.5072021484375,31.3
1.001,9.2,15.048198699951172,15.40407943725586,49.4,2.5071678161621094,31.3
2.001,8.6,14.896194458007812,15.556083679199219,48.9,2.5071678161621094,31.3
3.002,33.5,15.049144744873047,15.403133392333984,49.4,2.5071678161621094,31.3
4.002,52.9,15.059501647949219,15.392776489257812,49.5,2.5071678161621094,31.3
5.003,52.7,15.055583953857422,15.39669418334961,49.4,2.5071678161621094,31.3
6.003,53.0,15.059040069580078,15.393238067626953,49.5,2.5071640014648438,31.3
7.003,52.8,15.057445526123047,15.394832611083984,49.4,2.507160186767578,31.3
8.004,56.0,14.90618896484375,15.546089172363281,48.9,2.507091522216797,31.3
9.004,54.4,14.907909393310547,15.544368743896484,49.0,2.506916046142578,31.3
10.005,53.0,14.896141052246094,15.556137084960938,48.9,2.506916046142578,31.3
11.005,40.6,14.873016357421875,15.579261779785156,48.8,2.506908416748047,31.3
12.006,53.7,14.866207122802734,15.586071014404297,48.8,2.5069007873535156,31.3
13.007,45.8,14.861202239990234,15.591075897216797,48.8,2.5069007873535156,31.3
14.007,16.0,14.82284164428711,15.629436492919922,48.7,2.506885528564453,31.3
15.007,42.7,14.889244079589844,15.563034057617188,48.9,2.506885528564453,31.3
16.008,53.3,14.856826782226562,15.595451354980469,48.8,2.506885528564453,31.3
17.009,54.1,14.861347198486328,15.590930938720703,48.8,2.5068588256835938,31.3
18.009,54.7,14.865108489990234,15.587169647216797,48.8,2.5068588256835938,31.3
19.01,53.0,14.85654067993164,15.59573745727539,48.8,2.5068588256835938,31.3
20.01,52.6,14.866886138916016,15.585391998291016,48.8,2.5068588256835938,31.3
21.011,52.8,14.859424591064453,15.592853546142578,48.8,2.5068588256835938,31.3
22.011,35.1,14.748607635498047,15.703670501708984,48.4,2.5068588256835938,31.3
23.011,41.0,14.88400650024414,15.56827163696289,48.9,2.5068588256835938,31.3
24.012,31.2,14.925823211669922,15.52645492553711,49.0,2.5068588256835938,31.3
25.013,54.8,14.936695098876953,15.515583038330078,49.0,2.5068588256835938,31.3
26.013,53.0,14.915225982666016,15.537052154541016,49.0,2.5068588256835938,31.3
27.014,52.9,14.898418426513672,15.55385971069336,48.9,2.5068588256835938,31.3
28.014,42.8,14.8760986328125,15.576179504394531,48.9,2.5068588256835938,31.3
29.015,34.0,14.902507781982422,15.54977035522461,48.9,2.506855010986328,31.3
30.015,53.0,14.867523193359375,15.584754943847656,48.8,2.506855010986328,31.3
31.015,47.3,15.196277618408203,15.256000518798828,49.9,2.506855010986328,31.3
32.016,40.5,15.303871154785156,15.148406982421875,50.3,2.506855010986328,31.3
33.016,52.8,15.31032943725586,15.141948699951172,50.3,2.506855010986328,31.3
34.017,52.9,15.21649169921875,15.235786437988281,50.0,2.506855010986328,31.3
35.017,52.9,15.221004486083984,15.231273651123047,50.0,2.506855010986328,31.3
36.018,52.7,15.224227905273438,15.228050231933594,50.0,2.506855010986328,31.3
37.018,53.0,15.226612091064453,15.225666046142578,50.0,2.506855010986328,31.3
38.019,52.6,15.21689224243164,15.23538589477539,50.0,2.506855010986328,31.3
39.019,52.9,15.231620788574219,15.220657348632812,50.0,2.506855010986328,31.3
40.02,52.7,15.241043090820312,15.211235046386719,50.0,2.506855010986328,31.3
41.02,52.9,15.21463394165039,15.23764419555664,50.0,2.506855010986328,31.3
42.021,52.6,15.207561492919922,15.24471664428711,49.9,2.506855010986328,31.3
43.021,52.7,15.229248046875,15.223030090332031,50.0,2.5068511962890625,31.3
44.022,52.7,15.199226379394531,15.2530517578125,49.9,2.5068511962890625,31.3
45.022,43.6,15.22305679321289,15.22922134399414,50.0,2.5068511962890625,31.3
