elapsed_seconds,cpu_percent,ram_used_gib,ram_available_gib,ram_percent,swap_used_gib,swap_percent
0.001,0.0,5.813850402832031,24.638427734375,19.1,3.4814796447753906,43.5
1.001,7.4,6.41204833984375,24.04022979736328,21.1,3.4814796447753906,43.5
2.001,7.3,6.4728851318359375,23.979393005371094,21.3,3.4678726196289062,43.3
3.002,4.6,6.64276123046875,23.80951690673828,21.8,3.4678726196289062,43.3
4.002,4.4,6.644706726074219,23.807571411132812,21.8,3.4678726196289062,43.3
5.002,4.4,6.644397735595703,23.807880401611328,21.8,3.4677162170410156,43.3
6.003,4.3,6.651252746582031,23.801025390625,21.8,3.46771240234375,43.3
7.003,5.7,6.868755340576172,23.58352279663086,22.6,3.46771240234375,43.3
8.003,6.5,6.932594299316406,23.519683837890625,22.8,3.4879722595214844,43.6
9.004,4.2,6.936958312988281,23.51531982421875,22.8,3.5328407287597656,44.2
10.004,5.6,6.941123962402344,23.511154174804688,22.8,3.5396728515625,44.2
11.004,4.6,7.056941986083984,23.395336151123047,23.2,3.5396728515625,44.2
12.005,4.6,7.0586090087890625,23.39366912841797,23.2,3.5396728515625,44.2
13.005,4.6,7.062366485595703,23.389911651611328,23.2,3.5396690368652344,44.2
14.005,4.6,7.042682647705078,23.409595489501953,23.1,3.5396690368652344,44.2
15.005,5.0,7.1064300537109375,23.345848083496094,23.3,3.5396652221679688,44.2
