elapsed_seconds,cpu_percent,ram_used_gib,ram_available_gib,ram_percent,swap_used_gib,swap_percent
0.001,9.3,7.232078552246094,23.220199584960938,23.7,3.029979705810547,37.9
1.001,7.5,7.819797515869141,22.63248062133789,25.7,3.0299720764160156,37.9
2.001,6.8,7.580570220947266,22.871707916259766,24.9,3.0299644470214844,37.9
3.002,34.9,7.638214111328125,22.814064025878906,25.1,3.0299644470214844,37.9
4.002,43.1,7.661045074462891,22.79123306274414,25.2,3.0299644470214844,37.9
5.003,41.7,7.658084869384766,22.794193267822266,25.1,3.0299644470214844,37.9
6.003,35.0,7.65283203125,22.79944610595703,25.1,3.0299644470214844,37.9
7.003,16.0,7.730991363525391,22.72128677368164,25.4,3.029937744140625,37.9
8.004,30.8,7.803516387939453,22.648761749267578,25.6,3.029937744140625,37.9
9.004,33.1,8.141979217529297,22.310298919677734,26.7,3.029937744140625,37.9
10.004,44.5,8.157642364501953,22.294635772705078,26.8,3.029937744140625,37.9
11.005,44.7,8.187583923339844,22.264694213867188,26.9,3.029937744140625,37.9
12.005,45.1,8.189289093017578,22.262989044189453,26.9,3.0299148559570312,37.9
13.005,45.0,8.182720184326172,22.26955795288086,26.9,3.0299148559570312,37.9
14.006,44.7,8.173664093017578,22.278614044189453,26.8,3.0298843383789062,37.9
15.006,44.5,8.179794311523438,22.272483825683594,26.9,3.0298728942871094,37.9
