elapsed_seconds,cpu_percent,ram_used_gib,ram_available_gib,ram_percent,swap_used_gib,swap_percent
0.001,0.0,5.881744384765625,24.570533752441406,19.3,3.4234962463378906,42.8
1.001,7.3,6.417369842529297,24.034908294677734,21.1,3.423492431640625,42.8
2.001,7.3,6.685863494873047,23.766414642333984,22.0,3.423492431640625,42.8
3.002,4.6,6.873069763183594,23.579208374023438,22.6,3.423492431640625,42.8
4.002,4.4,6.876895904541016,23.575382232666016,22.6,3.423492431640625,42.8
5.002,4.4,6.875171661376953,23.577106475830078,22.6,3.423492431640625,42.8
6.002,4.5,6.886142730712891,23.56613540649414,22.6,3.423492431640625,42.8
7.003,5.4,7.112209320068359,23.340068817138672,23.4,3.423492431640625,42.8
8.003,5.3,7.218414306640625,23.233863830566406,23.7,3.423492431640625,42.8
9.003,4.9,7.2365875244140625,23.21569061279297,23.8,3.423492431640625,42.8
10.004,5.0,7.238819122314453,23.213459014892578,23.8,3.423492431640625,42.8
11.004,5.2,7.263698577880859,23.188579559326172,23.9,3.423492431640625,42.8
12.004,5.6,7.544040679931641,22.90823745727539,24.8,3.423492431640625,42.8
13.004,4.6,7.549968719482422,22.90230941772461,24.8,3.423492431640625,42.8
14.005,4.6,7.548683166503906,22.903594970703125,24.8,3.423492431640625,42.8
15.005,4.6,7.557590484619141,22.89468765258789,24.8,3.423492431640625,42.8
16.005,4.5,7.559665679931641,22.89261245727539,24.8,3.423492431640625,42.8
17.005,5.0,7.5933685302734375,22.858909606933594,24.9,3.423492431640625,42.8
