elapsed_seconds,cpu_percent,ram_used_gib,ram_available_gib,ram_percent,swap_used_gib,swap_percent
0.001,4.8,17.319869995117188,13.132408142089844,56.9,3.6918182373046875,46.1
1.001,7.5,17.829265594482422,12.62301254272461,58.5,3.6912269592285156,46.1
2.002,8.8,17.57801055908203,12.874267578125,57.7,3.6912078857421875,46.1
3.002,29.0,17.649456024169922,12.80282211303711,58.0,3.691204071044922,46.1
4.003,51.2,17.659133911132812,12.793144226074219,58.0,3.6911468505859375,46.1
5.004,51.1,17.64223861694336,12.810039520263672,57.9,3.6911468505859375,46.1
6.004,51.2,17.668598175048828,12.783679962158203,58.0,3.690784454345703,46.1
7.005,51.0,17.65001678466797,12.802261352539062,58.0,3.6907005310058594,46.1
8.006,53.4,17.496185302734375,12.956092834472656,57.5,3.6906661987304688,46.1
9.006,51.3,17.498119354248047,12.954158782958984,57.5,3.6906471252441406,46.1
10.007,47.0,17.494327545166016,12.957950592041016,57.4,3.690563201904297,46.1
11.008,41.1,17.44165802001953,13.0106201171875,57.3,3.6888580322265625,46.1
12.008,45.1,17.488079071044922,12.96419906616211,57.4,3.6861572265625,46.1
13.009,37.6,17.516735076904297,12.935543060302734,57.5,3.686138153076172,46.1
14.009,32.6,17.540157318115234,12.912120819091797,57.6,3.6860923767089844,46.1
15.01,49.8,17.710678100585938,12.741600036621094,58.2,3.6859703063964844,46.1
16.01,29.6,18.18700408935547,12.265274047851562,59.7,3.685943603515625,46.1
17.011,51.1,18.190948486328125,12.261329650878906,59.7,3.6857681274414062,46.1
18.011,50.7,18.180870056152344,12.271408081054688,59.7,3.6857643127441406,46.1
19.012,50.8,18.17950439453125,12.272773742675781,59.7,3.685741424560547,46.1
20.013,50.9,18.182876586914062,12.269401550292969,59.7,3.6857376098632812,46.1
21.013,50.6,18.159709930419922,12.29256820678711,59.6,3.6857337951660156,46.1
22.014,50.8,18.13640594482422,12.315872192382812,59.6,3.685718536376953,46.1
23.015,50.6,18.141101837158203,12.311176300048828,59.6,3.685710906982422,46.1
24.015,50.7,18.151355743408203,12.300922393798828,59.6,3.685710906982422,46.1
25.016,50.8,18.138729095458984,12.313549041748047,59.6,3.6856460571289062,46.1
26.016,50.9,18.118419647216797,12.333858489990234,59.5,3.6856422424316406,46.1
27.017,50.8,18.13357162475586,12.318706512451172,59.5,3.6855926513671875,46.1
28.017,50.8,18.1298828125,12.322395324707031,59.5,3.685577392578125,46.1
29.018,46.0,18.100791931152344,12.351486206054688,59.4,3.6855697631835938,46.1
