elapsed_seconds,cpu_percent,ram_used_gib,ram_available_gib,ram_percent,swap_used_gib,swap_percent
0.001,0.0,9.640708923339844,20.811569213867188,31.7,3.6603240966796875,45.8
1.001,8.1,10.09780502319336,20.354473114013672,33.2,3.6601524353027344,45.8
2.001,7.4,10.22690200805664,20.22537612915039,33.6,3.6598892211914062,45.7
3.002,6.0,10.41543960571289,20.03683853149414,34.2,3.6597137451171875,45.7
4.002,5.8,10.441875457763672,20.01040267944336,34.3,3.6596755981445312,45.7
5.002,5.8,10.445358276367188,20.006919860839844,34.3,3.6596450805664062,45.7
6.002,5.6,10.454280853271484,19.997997283935547,34.3,3.6596107482910156,45.7
7.003,5.8,10.446502685546875,20.005775451660156,34.3,3.659557342529297,45.7
8.003,5.9,10.47433853149414,19.97793960571289,34.4,3.659515380859375,45.7
9.003,38.8,10.626739501953125,19.825538635253906,34.9,3.659473419189453,45.7
10.004,35.8,10.921669006347656,19.530609130859375,35.9,3.659435272216797,45.7
11.004,24.4,10.874324798583984,19.577953338623047,35.7,3.6594009399414062,45.7
12.005,37.6,11.155288696289062,19.29698944091797,36.6,3.6592979431152344,45.7
13.005,52.0,11.135017395019531,19.3172607421875,36.6,3.6592750549316406,45.7
14.005,51.7,11.138309478759766,19.313968658447266,36.6,3.6592750549316406,45.7
15.006,50.5,11.160938262939453,19.291339874267578,36.7,3.659271240234375,45.7
16.006,50.8,11.13473892211914,19.31753921508789,36.6,3.65924072265625,45.7
17.007,50.5,11.136959075927734,19.315319061279297,36.6,3.65924072265625,45.7
18.007,50.9,11.113384246826172,19.33889389038086,36.5,3.6592330932617188,45.7
19.008,50.6,11.09372329711914,19.35855484008789,36.4,3.6592330932617188,45.7
20.008,50.7,11.078388214111328,19.373889923095703,36.4,3.6592178344726562,45.7
