elapsed_seconds,cpu_percent,ram_used_gib,ram_available_gib,ram_percent,swap_used_gib,swap_percent
0.001,5.9,6.565101623535156,23.887176513671875,21.6,3.576343536376953,44.7
1.001,8.2,7.066810607910156,23.385467529296875,23.2,3.5763092041015625,44.7
2.001,7.3,6.980846405029297,23.471431732177734,22.9,3.576305389404297,44.7
3.002,5.4,7.1036529541015625,23.34862518310547,23.3,3.576305389404297,44.7
4.002,5.3,7.127815246582031,23.324462890625,23.4,3.576305389404297,44.7
5.002,5.4,7.051303863525391,23.40097427368164,23.2,3.5762977600097656,44.7
6.003,5.4,7.135108947753906,23.317169189453125,23.4,3.5762939453125,44.7
7.003,6.0,7.107135772705078,23.345142364501953,23.3,3.5762939453125,44.7
8.003,5.5,7.054004669189453,23.398273468017578,23.2,3.5762901306152344,44.7
9.004,5.3,7.122768402099609,23.329509735107422,23.4,3.5762901306152344,44.7
10.004,5.3,7.209308624267578,23.242969512939453,23.7,3.576282501220703,44.7
11.004,5.6,7.2104339599609375,23.241844177246094,23.7,3.5762710571289062,44.7
12.004,5.4,7.206195831298828,23.246082305908203,23.7,3.5762710571289062,44.7
13.005,5.3,7.167518615722656,23.284759521484375,23.5,3.5762672424316406,44.7
14.005,5.3,7.176429748535156,23.275848388671875,23.6,3.5762672424316406,44.7
15.005,5.3,7.167163848876953,23.285114288330078,23.5,3.5762672424316406,44.7
16.005,5.2,7.109130859375,23.34314727783203,23.3,3.5762672424316406,44.7
17.006,5.1,7.0785980224609375,23.373680114746094,23.2,3.5762672424316406,44.7
18.006,5.3,7.118885040283203,23.333393096923828,23.4,3.576263427734375,44.7
19.006,5.5,7.558086395263672,22.89419174194336,24.8,3.576263427734375,44.7
20.006,5.0,7.555995941162109,22.896282196044922,24.8,3.576263427734375,44.7
21.007,5.1,7.576595306396484,22.875682830810547,24.9,3.576263427734375,44.7
22.007,5.1,7.589313507080078,22.862964630126953,24.9,3.5761146545410156,44.7
23.008,5.1,7.596015930175781,22.85626220703125,24.9,3.5761146545410156,44.7
24.008,5.1,7.599098205566406,22.853179931640625,25.0,3.5761146545410156,44.7
25.008,6.5,7.373561859130859,23.078716278076172,24.2,3.5761146545410156,44.7
