elapsed_seconds,cpu_percent,ram_used_gib,ram_available_gib,ram_percent,swap_used_gib,swap_percent
0.001,0.0,9.503910064697266,20.948368072509766,31.2,3.7052955627441406,46.3
1.001,8.3,10.122489929199219,20.329788208007812,33.2,3.705230712890625,46.3
2.002,9.4,10.397930145263672,20.05434799194336,34.1,3.705230712890625,46.3
3.002,7.8,10.557334899902344,19.894943237304688,34.7,3.7061004638671875,46.3
4.002,7.0,10.55624008178711,19.896038055419922,34.7,3.706024169921875,46.3
5.003,8.9,10.564865112304688,19.887413024902344,34.7,3.7059249877929688,46.3
6.003,10.2,10.569480895996094,19.882797241210938,34.7,3.705902099609375,46.3
7.004,7.0,10.541023254394531,19.9112548828125,34.6,3.7058486938476562,46.3
8.004,7.3,10.526779174804688,19.925498962402344,34.6,3.705841064453125,46.3
9.004,8.7,10.65976333618164,19.79251480102539,35.0,3.705810546875,46.3
10.005,50.0,10.746822357177734,19.705455780029297,35.3,3.7047157287597656,46.3
11.005,39.7,11.009204864501953,19.443073272705078,36.2,3.705272674560547,46.3
12.006,8.8,10.969928741455078,19.482349395751953,36.0,3.7052001953125,46.3
13.006,37.2,11.558979034423828,18.893299102783203,38.0,3.7051734924316406,46.3
14.006,58.1,11.557056427001953,18.895221710205078,38.0,3.705127716064453,46.3
15.007,55.7,11.566112518310547,18.886165618896484,38.0,3.705078125,46.3
16.007,55.2,11.540767669677734,18.911510467529297,37.9,3.703563690185547,46.3
17.008,51.9,11.519195556640625,18.933082580566406,37.8,3.7034530639648438,46.3
18.008,50.6,11.525890350341797,18.926387786865234,37.8,3.7034530639648438,46.3
19.008,51.5,11.480060577392578,18.972217559814453,37.7,3.7033920288085938,46.3
20.009,51.8,11.32204818725586,19.130229949951172,37.2,3.7033920288085938,46.3
21.009,50.6,11.299320220947266,19.152957916259766,37.1,3.7033920288085938,46.3
22.01,50.7,11.29220199584961,19.160076141357422,37.1,3.7033843994140625,46.3
