elapsed_seconds,cpu_percent,ram_used_gib,ram_available_gib,ram_percent,swap_used_gib,swap_percent
0.001,0.0,17.962703704833984,12.489574432373047,59.0,2.5581283569335938,32.0
1.001,8.4,18.619651794433594,11.832626342773438,61.1,2.5576324462890625,32.0
2.002,8.5,18.80004119873047,11.652236938476562,61.7,2.557628631591797,32.0
3.002,15.0,18.86880874633789,11.58346939086914,62.0,2.5576210021972656,32.0
4.002,17.5,18.846466064453125,11.605812072753906,61.9,2.5575714111328125,32.0
5.003,16.8,18.874710083007812,11.577568054199219,62.0,2.5573043823242188,32.0
6.003,16.8,18.889896392822266,11.562381744384766,62.0,2.5572967529296875,32.0
7.004,18.3,18.87802505493164,11.57425308227539,62.0,2.5572891235351562,32.0
8.004,16.3,18.869491577148438,11.582786560058594,62.0,2.5572853088378906,32.0
9.004,17.0,18.884849548339844,11.567428588867188,62.0,2.557281494140625,32.0
10.005,18.1,18.82522201538086,11.627056121826172,61.8,2.5572586059570312,32.0
11.005,17.7,18.783416748046875,11.668861389160156,61.7,2.5572547912597656,32.0
12.005,20.7,18.811660766601562,11.640617370605469,61.8,2.5572471618652344,32.0
13.006,18.3,18.773658752441406,11.678619384765625,61.6,2.5572357177734375,32.0
14.006,21.3,18.762847900390625,11.689430236816406,61.6,2.5572242736816406,32.0
15.007,16.9,18.75506591796875,11.697212219238281,61.6,2.557220458984375,32.0
16.007,19.9,18.885540008544922,11.56673812866211,62.0,2.5572128295898438,32.0
17.007,51.6,18.983882904052734,11.468395233154297,62.3,2.557201385498047,32.0
18.008,53.4,18.99807357788086,11.454204559326172,62.4,2.5571823120117188,32.0
19.009,53.2,18.979286193847656,11.472991943359375,62.3,2.5571823120117188,32.0
20.009,53.3,18.96731948852539,11.48495864868164,62.3,2.5571823120117188,32.0
21.009,45.4,18.987686157226562,11.464591979980469,62.4,2.557170867919922,32.0
22.01,48.9,19.045413970947266,11.406864166259766,62.5,2.557159423828125,32.0
23.011,53.2,19.03919219970703,11.4130859375,62.5,2.557159423828125,32.0
24.011,53.2,19.044376373291016,11.407901763916016,62.5,2.557159423828125,32.0
25.012,22.1,19.262866973876953,11.189411163330078,63.3,2.5571517944335938,32.0
26.012,34.4,19.16531753540039,11.28696060180664,62.9,2.557147979736328,32.0
27.013,52.8,19.16583251953125,11.286445617675781,62.9,2.557147979736328,32.0
28.013,52.9,19.172504425048828,11.279773712158203,63.0,2.557147979736328,32.0
29.014,52.8,19.143325805664062,11.308952331542969,62.9,2.557147979736328,32.0
30.015,34.9,19.152294158935547,11.299983978271484,62.9,2.5571327209472656,32.0
31.016,53.1,19.155113220214844,11.297164916992188,62.9,2.5571327209472656,32.0
32.016,53.5,19.154743194580078,11.297534942626953,62.9,2.5571327209472656,32.0
33.017,48.4,19.56475830078125,10.887519836425781,64.2,2.5571212768554688,32.0
34.017,39.5,19.684093475341797,10.768184661865234,64.6,2.5571136474609375,32.0
35.018,54.4,19.689868927001953,10.762409210205078,64.7,2.556743621826172,32.0
36.018,54.4,19.696063995361328,10.756214141845703,64.7,2.5556678771972656,31.9
37.019,54.5,19.690120697021484,10.762157440185547,64.7,2.555217742919922,31.9
38.02,54.3,19.686241149902344,10.766036987304688,64.6,2.555156707763672,31.9
39.021,53.1,19.692920684814453,10.759357452392578,64.7,2.555156707763672,31.9
40.021,53.5,19.698528289794922,10.75374984741211,64.7,2.5551071166992188,31.9
41.022,54.1,19.691024780273438,10.761253356933594,64.7,2.55499267578125,31.9
42.023,53.9,19.686214447021484,10.766063690185547,64.6,2.554973602294922,31.9
43.024,54.4,19.685768127441406,10.766510009765625,64.6,2.5547256469726562,31.9
44.024,53.8,19.687538146972656,10.764739990234375,64.7,2.5547218322753906,31.9
45.025,52.9,19.682697296142578,10.769580841064453,64.6,2.5546798706054688,31.9
46.026,53.4,19.6688232421875,10.783454895019531,64.6,2.554668426513672,31.9
47.026,53.6,19.677040100097656,10.775238037109375,64.6,2.5546607971191406,31.9
48.027,53.9,19.680702209472656,10.771575927734375,64.6,2.5546607971191406,31.9
49.028,53.5,19.69943618774414,10.75284194946289,64.7,2.5546607971191406,31.9
50.028,53.9,19.68463897705078,10.76763916015625,64.6,2.5546531677246094,31.9
51.029,53.6,19.680721282958984,10.771556854248047,64.6,2.5546531677246094,31.9
52.03,53.6,19.691116333007812,10.761161804199219,64.7,2.5546531677246094,31.9
53.031,53.5,19.6807861328125,10.771492004394531,64.6,2.5546226501464844,31.9
54.032,53.7,19.69284439086914,10.75943374633789,64.7,2.5546226501464844,31.9
55.032,53.5,19.674999237060547,10.777278900146484,64.6,2.5546226501464844,31.9
56.033,53.8,19.677169799804688,10.775108337402344,64.6,2.5546188354492188,31.9
57.034,53.6,19.684772491455078,10.767505645751953,64.6,2.5546188354492188,31.9
58.035,53.7,19.678756713867188,10.773521423339844,64.6,2.5546112060546875,31.9
59.035,53.5,19.673851013183594,10.778427124023438,64.6,2.5546035766601562,31.9
60.036,55.2,19.680694580078125,10.771583557128906,64.6,2.5544815063476562,31.9
61.037,53.5,19.68457794189453,10.7677001953125,64.6,2.5544815063476562,31.9
62.038,53.7,19.675312042236328,10.776966094970703,64.6,2.554473876953125,31.9
63.038,53.2,19.674335479736328,10.777942657470703,64.6,2.554473876953125,31.9
64.039,53.6,19.675048828125,10.777229309082031,64.6,2.554473876953125,31.9
65.04,53.5,19.679851531982422,10.77242660522461,64.6,2.5544662475585938,31.9
66.04,53.6,19.68341064453125,10.768867492675781,64.6,2.554443359375,31.9
67.041,53.4,19.675506591796875,10.776771545410156,64.6,2.5544395446777344,31.9
68.042,54.3,19.665367126464844,10.786911010742188,64.6,2.5541648864746094,31.9
69.043,54.4,19.657817840576172,10.79446029663086,64.6,2.5539932250976562,31.9
70.044,55.0,19.66641616821289,10.78586196899414,64.6,2.553985595703125,31.9
71.045,54.9,19.661487579345703,10.790790557861328,64.6,2.5539627075195312,31.9
72.046,53.2,19.683940887451172,10.76833724975586,64.6,2.553943634033203,31.9
73.046,53.2,19.68805694580078,10.76422119140625,64.7,2.5539398193359375,31.9
74.047,53.7,19.683795928955078,10.768482208251953,64.6,2.5539321899414062,31.9
75.048,53.6,19.669586181640625,10.782691955566406,64.6,2.5539321899414062,31.9
76.048,38.1,19.786754608154297,10.665523529052734,65.0,2.559051513671875,32.0
