elapsed_seconds,cpu_percent,ram_used_gib,ram_available_gib,ram_percent,swap_used_gib,swap_percent
0.001,0.0,6.304409027099609,24.147869110107422,20.7,3.6926040649414062,46.2
1.001,7.4,6.854045867919922,23.59823226928711,22.5,3.692584991455078,46.2
2.001,7.8,6.95562744140625,23.49665069580078,22.8,3.692584991455078,46.2
3.002,6.2,7.122802734375,23.32947540283203,23.4,3.692577362060547,46.2
4.002,6.0,7.1226348876953125,23.32964324951172,23.4,3.692577362060547,46.2
5.002,6.2,7.137733459472656,23.314544677734375,23.4,3.692577362060547,46.2
6.002,6.1,7.129341125488281,23.32293701171875,23.4,3.69256591796875,46.2
7.003,11.5,7.327545166015625,23.124732971191406,24.1,3.692546844482422,46.2
8.003,32.5,7.409732818603516,23.042545318603516,24.3,3.6925315856933594,46.2
9.004,35.1,7.487762451171875,22.964515686035156,24.6,3.6925277709960938,46.2
10.004,5.4,7.426090240478516,23.026187896728516,24.4,3.692516326904297,46.2
11.005,27.2,8.031417846679688,22.420860290527344,26.4,3.6924896240234375,46.2
12.005,42.1,8.022483825683594,22.429794311523438,26.3,3.6924896240234375,46.2
13.005,42.3,8.028961181640625,22.423316955566406,26.4,3.6924896240234375,46.2
14.006,42.2,8.019824981689453,22.432453155517578,26.3,3.6924819946289062,46.2
15.006,42.1,8.022457122802734,22.429821014404297,26.3,3.6924781799316406,46.2
16.006,41.9,8.012916564941406,22.439361572265625,26.3,3.6924781799316406,46.2
17.007,42.1,7.979526519775391,22.47275161743164,26.2,3.692474365234375,46.2
18.007,32.0,7.975837707519531,22.4764404296875,26.2,3.6924667358398438,46.2
